"glytoucan_ac","pubchem_id","sequence_smiles_isomeric"
"G54826OZ","5289011","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)NC(=O)C)O[C@H]5[C@H]([C@@H]([C@@H]([C@@H](O5)C)O)O)O)CO)O)NC(=O)C)O)O)O"
"G78706CK","5289352","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OS(=O)(=O)O)O)NC(=O)C)O)CO)O)O)O"
"G12295TB","5289353","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OS(=O)(=O)O)O)CO)O)NC(=O)C)O)O)O"
"G30207PZ","5289366","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O)CO)O)O"
"G63069TR","5289369","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O"
"G55614WT","5311110","C([C@H]([C@H]([C@H](C=O)O)O)O)O"
"G35338PW","5319264","C([C@@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O"
"G65070VQ","5321399","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O"
"G40696TO","5326971","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H](O[C@@H]([C@H]3O)CO)O)NC(=O)C)CO)O)O)O)O)O"
"G27798EJ","5459926","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O"
"G29966LR","5459972","C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O"
"G47203JO","5460291","C([C@@H]([C@@H]([C@H](C=O)O)O)O)O"
"G33546ZK","6102353","C1[C@H]([C@H]([C@H]([C@H](O1)O)O)O)O"
"G25481SL","6102790","C([C@@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)O)O)O)O"
"G48232PN","6321330","C([C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O)O"
"G80636BF","6323336","C([C@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O"
"G28148HG","6326183","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O)O"
"G44856HU","6454902","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O"
"G10338IN","6560213","C([C@H]1[C@@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O"
"G64007OP","6857384","C([C@H]1[C@@H]([C@H]([C@H](O1)O)O)O)O"
"G15768VA","6971003","C([C@H]1[C@@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O)O"
"G69976ZM","6971004","C([C@H]1[C@@H]([C@@H]([C@H](O1)O)O)O)O"
"G40725TK","6971005","C([C@H]1[C@@H]([C@@H]([C@@H](O1)O)O)O)O"
"G76622SI","6971007","C([C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O)O)O)O)O"
"G30086RR","6971016","C([C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)O)O)O)O"
"G24741VO","6971096","C([C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O"
"G62164YY","6971098","C([C@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O"
"G72539IR","6992018","C([C@@H]1[C@H]([C@@H]([C@@H](O1)O)O)O)O"
"G24050VV","6992021","C([C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O"
"G59396XU","6992084","C([C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)O)O)O)O)O"
"G63875KV","7044038","C([C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)O)O)O)O)O"
"G81394BJ","7044039","C1[C@H]([C@H]([C@@H]([C@H](O1)O)O)O)O"
"G44396YZ","7048819","C1[C@@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O"
"G83797YW","7567127","C[C@@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)O)O)O"
"G49736TE","9548799","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O)O)O)O)O)O)O)O"
"G16641ZZ","9548801","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O"
"G48027TR","9548802","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O"
"G51331BY","9800166","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O"
"G93263XO","9811157","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2C(=O)O)O[C@H]3[C@@H]([C@H](OC([C@@H]3NC(=O)C)O)CO)O)O)O)CO)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O"
"G11795CV","9816473","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC(CO)CO)O)O)O)O"
"G48059CD","9831622","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)CO)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O"
"G91563HD","9840966","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O"
"G54046EC","9884439","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O"
"G01866TT","9898371","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O)O)O)NC(=O)C)O)O)NC(=O)C)O)O"
"G00076PK","9915394","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O)O"
"G41288IQ","9919918","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O)CO)CO)CO)CO)CO)CO)O)O)O)O"
"G17963KW","9951956","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O"
"G16647VS","9957784","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O)O)O"
"G98609WL","9961363","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@H]2[C@H]([C@@H]([C@H](O[C@H]2O[C@H]3[C@H]([C@@H]([C@H](O[C@H]3O[C@H]4[C@H]([C@@H]([C@H](OC4O)CO)O)O)CO)O)O)CO)O)O)O)O)O)O"
"G19620XJ","9996708","C([C@@H]1[C@H]([C@@H]([C@H](O1)O)O)O)O"
"G18375DW","10008718","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2C(=O)O)O[C@H]3[C@@H]([C@H](OC([C@@H]3NC(=O)C)O)CO)O)O)O)CO)O)O"
"G73545YE","10022829","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O"
"G10488WF","10074840","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)O)O)O)O)O)O)O)O)O)O)O"
"G46945UL","10106330","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC(CO)CO)O)O)O)O"
"G82950HY","10121152","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC[C@@H]2[C@@H]([C@@H]([C@H](C(O2)O)NC(=O)C)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)CO)O)O"
"G76432BK","10130220","C([C@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O"
"G37619KE","10137150","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC[C@@H]2[C@@H]([C@@H]([C@H](C(O2)O)NC(=O)C)O)O)CO)O)O"
"G88876JQ","10148744","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@@H]([C@H](O[C@@H]2OC[C@@H]3[C@H]([C@@H]([C@@H]([C@@H](O3)O[C@@H]4[C@H](O[C@H]([C@@H]([C@H]4O)NC(=O)C)O[C@@H]5[C@H](OC([C@@H]([C@H]5O)NC(=O)C)O)CO)CO)O)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)NC(=O)C)O)CO)O)O)CO)O)O"
"G21856LC","10169040","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)CO)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O"
"G00056MO","10177989","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O"
"G58612ZQ","10206531","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](OC2O)CO)O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O)O"
"G90562PB","10230776","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)CO)O)O"
"G06239NA","10230777","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)CO)O)O"
"G98465JN","10260428","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2O[C@@H]3[C@H]([C@@H](O[C@@H]([C@@H]3O)CO)O[C@H]4[C@H]([C@H](O[C@@H]([C@@H]4O)O[C@H]5[C@H](O[C@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@H]([C@@H]([C@H]6O)O)O)CO)CO)CO)O)NC(=O)C)CO)O)O)O)O)O"
"G78074HX","10278847","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O)O"
"G29487JS","10303842","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)C)O)O"
"G34022KC","10373325","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O[C@H]4[C@H]([C@@H]([C@@H]([C@@H](O4)C)O)O)O)CO)O[C@H]5[C@H]([C@H](O[C@H]([C@@H]5O)O)CO)O)NC(=O)C)O)O)O"
"G28553JC","10869261","C1[C@@H]([C@H]([C@@H](O[C@@]1(C(=O)O)O)[C@@H]([C@@H](CO)O)O)O)O"
"G21269SH","10874809","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O"
"G26886DA","10877291","C([C@@H]1[C@H]([C@@H](C(O1)O)O)O)O"
"G06186NU","10954115","C([C@@H]([C@@H]([C@H]([C@@H](C=O)O)O)O)O)O"
"G02998EX","10973189","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O)O)O)O)O)O)O)O)O)O)O"
"G75380KK","10975657","C1[C@H]([C@H]([C@H](C(O1)O)O)O)O"
"G81971FM","10985677","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@@]4(C[C@@H]([C@H]([C@@H](O4)[C@@H]([C@@H](CO)O)O)NC(=O)C)O)C(=O)O)O)NC(=O)C)O)CO)O)O)O"
"G97569KL","10995590","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H](CO)[C@H]([C@H]2[C@@H]([C@H](CC(O2)(C(=O)O)O)O)NC(=O)C)O)O"
"G83311LS","11008084","C1[C@@H]([C@@H]([C@@H](C(O1)O)O)O)O"
"G07490EK","11013287","C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H]2[C@@H]([C@H](OC([C@H]2O)O)CO)O)O)O)O)O"
"G09259UZ","11019447","C([C@H]1[C@H]([C@H]([C@H](C(O1)O)O)O)O)O"
"G23887LS","11019448","C([C@H]([C@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O)O"
"G56299XO","11072436","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@H]3[C@H]([C@H](OC([C@@H]3NC(=O)C)O)CO)O)CO)O)O"
"G29322AW","11096158","CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O"
"G29313LW","11099946","C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H]2[C@H]([C@@H]([C@H](OC2O)CO)O)O)O)O)O)O"
"G17792PO","11124767","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](OC([C@@H]([C@H]2O)NC(=O)C)O)CO)CO)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O"
"G77865AH","11146770","C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O[C@@H]2[C@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O"
"G85278ER","11240191","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)NC(=O)C)O[C@H]4[C@H]([C@H](O[C@H]([C@@H]4O)O[C@@H]5[C@H](OC([C@@H]([C@H]5O)O)O)CO)CO)O)CO)CO)O)CO)O[C@H]6[C@@H]([C@H]([C@H]([C@H](O6)CO)O)O)O)O"
"G48740SL","11249135","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O)O"
"G38419CD","11309871","C([C@H]([C@@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O)O"
"G08539FO","11336802","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O)O"
"G56202TA","11400707","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](OC([C@@H]([C@H]2O)NC(=O)C)O)CO)CO)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)CO[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@@H]6[C@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O[C@@H]7[C@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O[C@@H]8[C@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O)O[C@@H]9[C@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)O"
"G98916HO","11433815","C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O[C@H]2[C@H]([C@@H]([C@H](O[C@@H]2OC[C@@H]3[C@H]([C@@H]([C@@H]([C@H](O3)OC[C@@H]4[C@H]([C@@H]([C@@H](C(O4)O)O)O)O)O)O)O)CO)O)O)O)O)O)O"
"G44414OJ","11477625","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](O[C@H]([C@@H]2O)O[C@H]3[C@@H]([C@H](OC([C@@H]3O)O)CO)O)CO)O)O)O)O)O"
"G00123JF","11521105","C([C@@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O"
"G83119OD","11651921","C([C@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O"
"G23487NW","11658901","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OCC(CO)O)O)O)O)O"
"G47517CO","11762871","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@H]([C@H]3O)O)O)CO)CO)O)O)O)O"
"G41372SJ","11801477","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1OC[C@@H]2[C@@H]([C@@H]([C@H](C(O2)O)NC(=O)C)O)O)CO)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O"
"G85582BO","11804933","C([C@H]1[C@@H]([C@@H](C(O1)O)O)O)O"
"G01187XC","11813424","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](OC([C@@H]2NC(=O)C)O)CO)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O)O"
"G65996GC","11813941","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)NC(=O)C)O"
"G95391DQ","11823089","C1[C@H]([C@H]([C@@H](C(O1)O)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O"
"G90387AM","11828886","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](OC([C@@H]2NC(=O)C)O)CO)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@@]4(C[C@@H]([C@H]([C@@H](O4)[C@@H]([C@@H](CO)O)O)NC(=O)C)O)C(=O)O)O)O)O)O"
"G75623HL","12003287","C([C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O)O"
"G32430MQ","12275066","COC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O"
"G05939SX","12285879","C([C@H]1[C@@H]([C@@H]([C@@H](C(O1)O)O)O)O)O"
"G70332TM","12302971","C[C@@H]1[C@H]([C@H]([C@H]([C@@H](O1)O)O)O)O"
"G08770AU","12302977","C[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)O)O)O)O"
"G83234UJ","12302989","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)N)O)CO)N)O)O)O"
"G14742FX","12306941","C1[C@@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O"
"G77824XV","13832708","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H]2[C@H]([C@H](OC([C@@H]2O)O)CO)O)O"
"G47325QT","13991612","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](COC(=O)C)O)O)(C(=O)O)O)O"
"G10203DW","14367963","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)NC(=O)C)O)CO)CO)O)O"
"G12916RQ","14389182","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O"
"G32969VW","14647411","C1[C@@H]([C@H]([C@@H](O[C@]1(C(=O)O)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)[C@@H]([C@@H](CO)O)O)NC(=O)CO)O"
"G61168WC","14647413","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)NC(=O)C)CO)O[C@@H]4[C@H](OC([C@@H]([C@H]4O)O)O)CO)O)O"
"G41759HA","14647435","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O[C@@]2(C[C@@H]([C@H]([C@@H](O2)[C@@H]([C@@H](CO)O)O)NC(=O)C)O)C(=O)O)O)(C(=O)O)O[C@@H]3[C@H]([C@@H](O[C@@H]([C@@H]3O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)NC(=O)C)CO)O[C@@H]5[C@H](OC([C@@H]([C@H]5O)O)O)CO)O)O"
"G27854BF","14682824","C([C@H]1[C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O"
"G77492WA","15560230","C([C@@H]([C@H]1[C@@H]([C@@H](C(O1)O)O)O)O)O"
"G97834OQ","16040232","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1O[C@@H]2[C@H]([C@@H](O[C@@H]([C@@H]2O)CO)O)NC(=O)C)CO)O)O"
"G98889VY","16048618","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H](CO)O)O)O)O)O"
"G61071JD","16213812","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)N)O)CO)N)O)O)O"
"G78260AJ","16219440","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@H]([C@H](OC([C@@H]2O)O)CO)O)O)O)O)O"
"G06107IE","21145993","C([C@H]([C@@H]1[C@H]([C@H](C(O1)O)O)O)O)O"
"G61488WF","21627865","C([C@H]([C@@H]1[C@H]([C@H]([C@H](O1)O)O)O)O)O"
"G93529IJ","21627866","C([C@H]([C@@H]1[C@H]([C@H]([C@@H](O1)O)O)O)O)O"
"G58896AZ","21670519","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)CO)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O"
"G00047MO","22806751","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)NC(=O)C)O)CO)O)O)O"
"G31761VE","24812250","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O)O"
"G06580KR","24826242","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O)CO)O)CO)O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O"
"G97249VB","24882919","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)COS(=O)(=O)O)O)O)O)O"
"G24618XK","24883457","C([C@@H]([C@H]1[C@@H]([C@@H]([C@H](O1)O)O)O)O)O"
"G43512RT","24883458","C([C@@H]([C@H]1[C@@H]([C@@H]([C@@H](O1)O)O)O)O)O"
