"glytoucan_ac","pubchem_id","sequence_smiles_isomeric"
"G80126GC","197508","C1[C@@H]([C@H]([C@@H](O[C@]1(C(=O)O)O)[C@@H]([C@@H](CO)O)O)O)O"
"G64581RP","439174","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O"
"G88980IR","439195","C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O"
"G81533KY","439197","CC(=O)N[C@@H]1[C@H](CC(O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O)O"
"G80384UV","439213","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O"
"G84489FR","439240","C1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O"
"G00055MO","439271","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O)O)O"
"G29494LA","439281","CC(=O)N[C@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O"
"G42666HT","439326","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)NC(=O)C)O"
"G65889KE","439353","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O"
"G09546QO","439357","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O"
"G74407MX","439507","C([C@@H]1[C@H]([C@H]([C@H](C(O1)O)O)O)O)O"
"G32319HH","439508","C1[C@@H]([C@H]([C@H](C(O1)O)O)O)O"
"G14001GU","439509","C1[C@@H]([C@H]([C@@H](C(O1)O)O)O)O"
"G42865BX","439537","C1[C@@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O"
"G07982RO","439544","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@@H]2[C@H](OC([C@@H]([C@H]2O)NC(=O)C)O)CO)CO)O)O"
"G20386CD","439548","C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O"
"G96881BQ","439554","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O"
"G77384RA","439557","C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@@H]([C@H](O2)O)O)O)O)O)O)O)O"
"G61899YO","439583","C([C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O)O)O)O)O"
"G65718MY","439626","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](OC([C@@H]([C@H]4O)O)O)CO)CO)CO)O)O)O)O"
"G82562YG","439650","C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O"
"G26478JK","439678","C1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O"
"G74840NI","439680","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O)O)O)O)O"
"G38999IM","439710","C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O)O)O)O"
"G51535NO","439730","C[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)O)O)O)O"
"G27752QD","439731","C1[C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O"
