"glytoucan_ac","sequence_glycam_iupac"
"G17342KE","DGalpb1-4DGlcpb1-4DGlcpNAca1-"
"G17356JL","DManpb1-2DManpb1-3DManpb1-"
"G17378BE","DGlcpAb1-3DGalpNAcb1-6[DGlcpAb1-3]DGalpNAcb1-"
"G17413FR","DNeup5Aca2-6DGalpb1-4DGlcpNAc[6S]b1-2DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G17425GC","LFucpa1-2DGalpb1-3DGalpNAcb1-3DGalpb1-"
"G17433EW","DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAca1-3[DManpa1-2DManpa1-6]DManpb1-4DGlcpNAcb1-"
"G17437BX","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G17451LQ","DNeup5Aca2-3DGalpb1-3[DNeup5Aca2-6]DGalpNAcb1-4DGalpb1-4DGalpb1-"
"G17465IO","DGalpa1-4DGalpb1-3DGlcpNAcb1-2DManpa1-3[DGalpa1-4DGalpb1-3DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G17473NR","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G17475KI","DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpa1-"
"G17475NE","DAllpb1-"
"G17480GI","DGalpNAca1-3[LFucpa1-2]DGalpb1-3DGalpNAcb1-"
"G17480VM","DGalpb1-3DGalpa1-3DGalpa1-3DGalpa1-1DGlcpa1-"
"G17510DO","LFucpa1-2DGalp[3Me]b1-4DGlcpNAcb1-"
"G17520FX","DGalpNAca1-3DGalpb1-4[LFucpa1-3]DGlcpb1-"
"G17538MY","DManpa1-2DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G17540HT","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGalp[3S]b1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G17557TG","DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G17575OM","DGlcpNAcb1-6DManpa1-6DManpa1-"
"G17601US","DManpa1-3DManpb1-4DGlcpNAcb1-4[LFucpa1-3][LFucpa1-6]DGlcpNAcb1-"
"G17634ZQ","LFucpa1-2DGalpb1-3[DGalpNAcb1-6]DGlcpNAcb1-"
"G17644VM","DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-2DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G17676GV","DGlcpNAcb1-3DManpb1-"
"G17680DJ","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4DGalpb1-3[DGlcpNAcb1-4DGalpb1-6]DGalpb1-4DGlcpb1-"
"G17689DH","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G17689EW","DManpa1-3DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G17709UI","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6[DNeup5Aca2-3DGalpb1-3]DGalpNAca1-"
"G17740GV","DNeup5Aca2-3DGalpb1-4[DNeup5Aca2-6]DGlcpNAcb1-4[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G17750OE","DManpa1-3[DManpa1-4]DGlcpNAcb1-"
"G17752YB","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-6[DGalpb1-3]DGalpNAca1-"
"G17758YV","DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-3DGlcpNAcb1-3DGalpb1-3DGalpNAca1-"
"G17779DH","DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2[DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G17790QU","DGalpNAcb1-3DGalpa1-3DGalpa1-3DGalpa1-4DGalpb1-4DGlcpb1-"
"G17810KS","DGalpb1-4DGlcpNAcb1-3[DNeup5Aca2-6]DGalpb1-4DGlcpNAcb1-3[DNeup5Aca2-6]DGalpNAca1-"
"G17848HM","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGlcpNAcb1-2DManpa1-3][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G17857ZF","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G17909DH","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G17931GP","DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-3LFucpa1-"
"G17940JF","DNeup5Aca2-4DGalpb1-3[DNeup5Aca2-6]DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G17961XM","DGalpb1-3DGlcpNAcb1-3DGalpb1-3DGlcpNAcb1-3DGalpb1-3DGlcpNAcb1-"
"G17963KW","DGalpa1-4DGlcpNAcb1-"
"G17964DY","DNeup5Aca2-6DGalpNAcb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G17984VC","DGlcpNAcb1-4DGlcpNAcb1-4DGlcpNAcb1-4DGlcpNAca1-4DGlcpNAcb1-4DGlcpNAca1-"
"G18026EK","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G18076SX","DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-3DGalpb1-"
"G18117YG","LFucpa1-2DGalpb1-3[LFucpa1-2]DGalpb1-3[DGlcpNAcb1-3[LFucpa1-4]DGlcpNAcb1-6]DGalpNAca1-"
"G18136DY","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DManpa1-3DManpa1-6]DManpb1-4DGlcpNAca1-4[DFucpa1-6]DGlcpNAcb1-"
"G18140CR","DManpa1-2DManpa1-2DManpa1-3[DManpa1-2DManpa1-3DManpa1-6]DManpb1-4DGlcpNAca1-"
"G18155UL","DGlcpb1-2[DManpb1-3]DGalpb1-"
"G18166BF","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-"
"G18181XX","DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3]DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G18214MO","DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6[DGalpb1-3]DGalpNAca1-"
"G18219CJ","LFucpa1-2DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G18232WJ","DGalpb1-3[LFucpa1-2]DGlcpb1-"
"G18253ON","DGlcpAb1-3DGalpNAc[6S]b1-"
"G18259WY","DManpb1-4DManpb1-4DGlcpNAca1-4DGlcpNAcb1-"
"G18426VJ","LFucpa1-2DGalp[6S]b1-4DGlcpNAcb1-"
"G18438YA","DGalpa1-3DGlcpNAca1-"
"G18463FK","DGalpb1-3/4DGlcpNAcb1-3[DGalpb1-3DGlcpNAcb1-6]DGalpb1-3DGlcpNAcb1-3DGalpNAca1-"
"G18472TI","DGlcpNAca1-3DGalpNAca1-3[LFucpa1-2]DGalpb1-3DGalpNAca1-"
"G18483HP","DNeup5Aca2-3/6DGalpb1-4DGlcpNAcb1-3DGalpb1-"
"G18510WC","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2/4DManpa1-3[DGalpb1-4[LFucpa1-3]DGlcpNAcb1-2/4DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G18516QW","DManpa1-3DManpa1-2DManpa1-2[DManpa1-6]DManpa1-3[DManpa1-2DManpa1-6[DManpa1-3]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G18528HV","DNeup5Aca2-3DGalpb1-3DGalpNAcb1-3DGalpa1-3DGalpb1-4DGlcpb1-"
"G18550QV","DIdofb1-"
"G18571KJ","DManpa1-2DManpa1-2DManpa1-6[DManpa1-3]DManpb1-"
"G18581LO","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G18594JZ","DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-6[DManpa1-2DManpa1-2DManpa1-3]DManpb1-3/4DGlcpNAcb1-4DGlcpNAca1-"
"G18594ZT","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6]DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4]DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G18603ZQ","LFucpa1-2DGalpb1-4DGlcpNAcb1-3[DGlcpNAca1-4DGalpb1-4DGlcpNAcb1-6]DGalpb1-3[LFucpa1-2DGalpb1-4DGlcpNAcb1-6]DGalpNAca1-"
"G18625KA","DNeup5Aca2-8DNeup5Aca2-3DGalpb1-3DGalpNAcb1-4[DNeup5Aca2-8DNeup5Aca2-3]DGalpb1-4DGlcpb1-"
"G18628GH","DGlcpNAcb1-6DGalpNAc[3S]a1-"
"G18629CD","DGlcpa1-2[DGlcpa1-3]DGalpb1-"
"G18638YB","DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G18687CN","DGlcpNAcb1-2DManpa1-6[DXylpa1-2][DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G18695QD","LFucpa1-2DGalpb1-3[LFucpa1-2]DGalpb1-3[DGlcpNAcb1-3DGlcpNAcb1-6]DGalpNAca1-"
"G18768EK","DGalpb1-4DGlcpNAcb1-2[DGalpb1-3DGlcpNAcb1-6]DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G18784ZP","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4[DGlcpNAcb1-2]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G18830JZ","DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAca1-"
"G18841NY","LFucpa1-2DGalpb1-4DGlcpNAcb1-4DGalpb1-3[DNeup5Aca2-6]DGalpNAca1-"
"G18843II","DManpa1-3DGlcpNAca1-4DGlcpNAcb1-"
"G18855WX","DGalp[3S]b1-3[DGlcpNAcb1-6][LFucpa1-2]DGalpb1-3DGalpNAcb1-"
"G18859KD","DGalp[4S]b1-4DGlcpNAcb1-"
"G18859UG","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4[DGalpb1-4DGlcpNAcb1-3]DManpa1-3[DGalpb1-4DGlcpNAcb1-4DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G18869TR","DGalpa1-3DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G18875EC","LFucpb1-3DGalpa1-"
"G18904MY","LGalfa1-"
"G18938DW","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G18948TG","DGlcpa1-3DGlcpa1-3DManpa1-2DManpa1-2DManpa1-3[DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19019TY","DGalpNAcb1-4DGlcpNAcb1-2[DGalpNAcb1-4DGlcpNAcb1-4]DManpa1-3[DGalpNAcb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19022QG","DManpa1-3[DManpb1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAca1-"
"G19026NP","LFucpa1-2DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[LFucpa1-2DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19085AS","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAca1-4[DFucpb1-6]DGlcpNAcb1-"
"G19089MC","DGlcpNAcb1-6DGalpb1-"
"G19103IX","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6DManpa1-6]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G19104OH","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19124KK","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19138OU","DManpa1-2DManpa1-3[DManpa1-6]DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-"
"G19158MO","DManpa1-2DManpa1-3DManpb1-4DGlcpNAcb1-4[DManpa1-6]DGlcpNAcb1-"
"G19173US","DManpa1-3DManpa1-6[DXylfb1-2][DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19179MO","DManpa1-3[DManpb1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-3][LFucpa1-6]DGlcpNAcb1-"
"G19185HX","DGalpb1-4DGlcpNAcb1-4DGalpb1-4DGlcpNAcb1-"
"G19203SG","DNeup5Aca2-3DGalpb1-3[DGlcpNAcb1-6]DGalpNAcb1-"
"G19242QH","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3[DManpa1-2DManpa1-3DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19243KM","DNeup5Aca2-3DGalp[6A]b1-4DGlcpb1-"
"G19266OP","DGlcpNAcb1-2DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpa1-"
"G19282BU","DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGlcpNAcb1-2DManpb1-3]DManpb1-4DGlcpNAcb1-4[LFucpb1-6]DGlcpNAcb1-"
"G19294PB","DManpa1-3DManpb1-4DManpa1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19298NU","DGalpa1-4[LFucpa1-3]DGlcpNAcb1-3DGalpNAca1-"
"G19336PT","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-6[DGalpb1-3]DGalpNAcb1-3DGalpa1-4DGalpb1-4DGlcpb1-"
"G19444JC","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G19469VZ","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DGalp[3S]b1-4DGlcpNAcb1-4]DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G19499ZH","LFucpa1-2DGalpb1-4DGlcpNAcb1-6DManpa1-6DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G19503WF","DGlcpb1-6DGlcpb1-3DGlcpb1-3DGlcpb1-"
"G19517HH","DGalpNAc[3|4S]b1-4DGlcpNAcb1-2DManpa1-3[DManpa1-3DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19524AS","DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpb1-"
"G19562CL","DGalp[3S]b1-3[DGlcpNAcb1-6]DGalpNAca1-"
"G19615BB","DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-2DManpa1-6[LFucpa1-2DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G19619KS","DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-"
"G19620VP","DGalpa1-3[LFucpa1-2]DGalpb1-3DGalpNAcb1-3DGalpb1-4DGlcpb1-"
"G19620XJ","DArafa1-"
"G19629QE","LArapa1-3[LFucpa1-4]DGlcpNAcb1-"
"G19675BE","DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3[DGalpNAca1-3[LFucpa1-2]DGalpb1-4DGalpNAcb1-6]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G19677EK","DXylfb1-2[DManpa1-3][DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-"
"G19687OL","DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19697JA","DGalpb1-3DGlcpNAcb1-4[DGlcpNAcb1-2]DManpa1-3[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19726AG","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G19739KB","DGalpNAca1-3[DFucpa1-2]DGalpb1-4DGlcpNAcb1-2DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G19749DC","DGalpb1-3DGlcpNAcb1-3[DNeup5Aca2-6]DGalpNAca1-"
"G19751QT","DGlcpa1-4DGlcpb1-4DGlcpa1-4DGlcpa1-4DGlcpa1-4DGlcpa1-4DGlcpa1-4DGlcpb1-"
"G19761TL","DManpa1-2DManpa1-3DManpa1-6[DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-"
"G19790PJ","DManpa1-3[DManpa1-6]DManpa1-6[DManpa1-2DManpa1-3][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19811YA","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6[DNeup5Aca2-3DGalpb1-3]DGalpNAca1-"
"G19854PG","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G19857HY","DGlcpb1-3DGlcpb1-6DGlcpb1-"
"G19868AX","DGalpNAcb1-4DGlcpNAcb1-2DManpa1-6[DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19870TQ","DGlcpNAca1-4[LFucpa1-6]DGlcpNAcb1-"
"G19886LH","DManpb1-3DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19958IL","DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-6[DGlcpa1-3DManpa1-2DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G19962EA","DGalpNAcb1-3DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpb1-"
"G19968XU","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-3LFucpb1-"
"G19979XJ","DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpa1-"
"G20009FG","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G20018DL","LFucpa1-2DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-6]DManpa1-6[DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G20030CU","DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G20044TD","DGalp[3S]b1-4DGlcpb1-"
"G20059NZ","LFucpa1-3DGlcpNAcb1-6[DGalpb1-3]DGalpNAca1-"
"G20096RP","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G20158CE","DManpa1-2DManpa1-2[DManpa1-6]DManpa1-3[DManpa1-2DManpa1-6[DManpa1-3]DManpa1-6]DManpb1-4DGlcpNAcb1-"
"G20170YB","DGalpb1-4DGlcpNAcb1-2[DGalpNAcb1-4DGlcpNAcb1-6]DManpa1-6[DGalpNAcb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G20180GO","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G20212GT","DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-6[DManpb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G20228HQ","DGlcpAb1-3DGalpNAc[4S]b1-"
"G20242VY","DManpb1-2DManpa1-2[DGlcpa1-3]DManpa1-2DManpa1-3DGlcpNAcb1-"
"G20248TO","DManpa1-3DManpa1-2DManpa1-2[DManpa1-2DManpa1-6DManpa1-6]DManpa1-3[DManpa1-2DManpa1-6[DManpa1-3]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G20265RJ","DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3[DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-6]DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G20266PH","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G20291UE","LIdopAa1-3DGalpNAc[4S]b1-"
"G20303IY","DGlcpNAcb1-3DManpb1-4DGlcpb1-"
"G20386CD","DRhapa1-"
"G20420WT","DGalpa1-4DGlcpb1-"
"G20437OJ","DNeup5Aca2-6[LFucpa1-2]DGalpb1-4DGlcpNAcb1-"
"G20455AW","DGalpNAca1-3[DFucpa1-2]DGalpb1-4DGlcpNAcb1-2DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAca1-"
"G20463HA","DManpa1-6DManpa1-2[DManpa1-6DManpa1-6]DManpa1-6[DManpa1-2DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G20475UC","DGlcpNAcb1-2DManpa1-6DGlcpNAcb1-4[DGlcpNAcb1-2]DManpa1-3[DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G20487QO","DManpb1-4DManpa1-4[DManpb1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
