"glytoucan_ac","sequence_glycam_iupac"
"G00547ZN","DGalpNAc[4S]b1-4DGlcpNAcb1-2DManpa1-"
"G00591PZ","DGalpb1-4DGlcpNAcb1-2[DGalpb1-4DGlcpNAcb1-4]DManpa1-6[DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAcb1-"
"G00619DD","DManpa1-3[DManpa1-6]DManpa1-"
"G00659GQ","DNeup5Aca2-3DGalp[6S]b1-4[LFucpa1-3]DGlcpNAc[6S]b1-"
"G00662IB","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-4]DManpa1-6[DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00666EC","DNeup5Aca2-6[LFucpa1-2]DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6[LFucpa1-2]DGalpb1-4DGlcpNAcb1-6]DManpa1-3[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G00672PE","DNeup5Aca2-3DGalp[6S]b1-4[LFucpa1-3]DGlcpNAcb1-"
"G00674TY","DManpNAcb1-4DGlcpa1-4DGlcpa1-"
"G00682IE","DGalpb1-3DGalpNAca1-"
"G00691LW","LFucpb1-6DGalpa1-"
"G00702NP","DManpa1-3[DManpa1-6]DManpa1-6[DManpa1-2DManpa1-3]DManpa1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00728SN","DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6[DNeup5Aca2-3DGalpb1-3]DGalpNAca1-"
"G00743WU","DNeup5Aca2-6DGalpNAcb1-4DGlcpNAcb1-2DManpa1-3[DGalpNAcb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G00760ZJ","DGlcpa1-6DGlcpa1-6DGlcfb1-"
"G00797ZX","DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-4[LFucpa1-2DGalpb1-4DGlcpNAcb1-2]DManpa1-3[DGalpa1-3[LFucpa1-2]DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G00826SV","DGalpb1-4DGlcpNAcb1-4DManpa1-3[DGalpb1-4DGlcpNAcb1-4DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G00850LT","DManpa1-6DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00851XQ","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G00876GU","DGlcpb1-3DManpa1-2DManpa1-2DManpa1-3[DManpa1-2DManpa1-6[DManpa1-3]DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00883DO","DGalpb1-4DGlcpNAcb1-4DManpa1-3[DGalpb1-4DGlcpNAcb1-4DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
